Table S12.C. Regression coefficients* for 10 year cardiovascular risks models - PREVENT Enhanced for HbA1c,,,,,,,,,,
,Total CVD,,ASCVD,,Heart Failure,,Coronary Heart Disease,,Stroke,
Beta coefficients,Women,Men,Women,Men,Women,Men,Women,Men,Women,Men
"Age, 10 years",0.7858178,0.7699177,0.7111831,0.7064146,0.8997391,0.911787,0.7559415,0.7223642,0.6854957,0.7244468
non-HDL-C per 1 mmol/L,0.0194438,0.0605093,0.106797,0.1532267,,,0.1663933,0.2443591,0.043261,0.0134286
HDL-C per 0.3 mmol/L,-0.1521964,-0.0888525,-0.1425745,-0.1082166,,,-0.1905004,-0.1755236,-0.0983793,-0.0204357
SBP <110 per 20 mmHg,-0.2296681,-0.417713,-0.0736824,-0.2675288,-0.4422749,-0.6568071,-0.0768509,-0.3025745,-0.1017197,-0.2506963
SBP ≥110 per 20 mmHg,0.3465777,0.3288657,0.3480844,0.3173809,0.3378691,0.3524645,0.339647,0.3056892,0.3565955,0.3408562
Diabetes,0.5366241,0.4759471,0.5112951,0.432604,0.681284,0.5849752,0.5632228,0.4874841,0.4609555,0.35355
Current smoking,0.5411682,0.4385663,0.4880292,0.3958842,0.5886005,0.5014014,0.5478,0.3942456,0.4198301,0.3854904
"BMI <30, per 5 kg/m2",,,,,-0.0148657,-0.0512352,,,,
"BMI 30+, per 5 kg/m2",,,,,0.2958374,0.365294,,,,
"eGFR <60, per -15 ml",0.5931898,0.5334616,0.4754997,0.3665014,0.73447,0.6892219,0.5105085,0.3748008,0.4436518,0.3869787
"eGFR 60+, per -15 ml",0.0472458,0.0206431,0.0438132,0.0250243,0.05926,0.0292377,0.0381344,0.0250407,0.0544989,0.0237663
Anti-hypertensive use,0.3158567,0.2917524,0.2259093,0.2061158,0.3543475,0.3038296,0.2023093,0.1616182,0.2493831,0.236159
Statin use,-0.1535174,-0.1383313,-0.0648872,-0.0899988,,,-0.0425927,-0.0513733,-0.0859775,-0.1241976
Treated SBP ≥110 mm Hg per 20 mm Hg,-0.0687752,-0.0482622,-0.0437645,-0.0334959,-0.1002139,-0.0515032,-0.0953791,-0.059131,-0.0114564,0.0095878
Treated non-HDL-C,0.1054746,0.1393796,0.0697082,0.1034168,,,0.0587372,0.0710909,0.0689079,0.1424174
Age per 10yr * non-HDL-C per 1 mmol/L,-0.0761119,-0.0463501,-0.0506382,-0.0255406,,,-0.0607664,-0.0476587,-0.036013,0.018922
Age per 10yr * HDL-C per 1 mml/L,0.0307469,0.0205926,0.0327475,0.0247538,,,0.0485765,0.0502694,0.0171809,-0.0093452
Age per 10yr * SBP ≥110 mm Hg per 20 mmHg,-0.0905966,-0.1037717,-0.0996442,-0.0917441,-0.0878765,-0.1262343,-0.0841698,-0.0838455,-0.115679,-0.1143576
Age per 10yr * diabetes,-0.2241857,-0.1737697,-0.1924338,-0.1499195,-0.303684,-0.2449514,-0.1986967,-0.1630679,-0.2025816,-0.1559808
Age per 10yr * current smoking,-0.080186,-0.0915839,-0.0803539,-0.098089,-0.1178943,-0.1392217,-0.0807069,-0.1220691,-0.1003882,-0.0824194
Age per 10yr * BMI 30+ per 5 kg/m2,,,,,-0.008345,0.0009592,,,,
"Age per 10yr * eGFR <60, per -15 ml",-0.1667286,-0.1637039,-0.1682586,-0.1305231,-0.1912183,-0.1917105,-0.1610913,-0.0859505,-0.1760082,-0.1890904
"HbA1c in DM, per 1%",0.1338348,0.13159,0.1339055,0.1157161,0.1856442,0.1652857,0.1832739,0.1251064,0.0929695,0.1076023
"HbA1c no DM, per 1%",0.1622409,0.1295185,0.1596461,0.1288303,0.1833083,0.1505859,0.1755465,0.1177006,0.1545054,0.1408596
Missing HbA1c,-0.0142496,-0.0128373,0.0015678,-0.0010001,-0.0143112,-0.0113444,0.0268381,0.0285438,-0.025509,-0.0470943
Constant,-3.306162,-3.040901,-3.838746,-3.51835,-4.288225,-3.961954,-4.667457,-4.219654,-4.396448,-4.179346
,,,,,,,,,,
R-square,0.9996,0.9990,0.9995,0.9987,0.9996,0.9993,0.9995,0.9986,0.9994,0.9986
"Centered at age 55, non-HDLC 3.5, HDLC 1.3, SBP 130, BMI 25, eGFR 90, no DM,  non-smoker, no medication used",,,,,,,,,,
"*Dependent variable is the log-odds of the risk (log of risk /(1-risk)). Appendix 4 provides the details of the computation, including the algebra for creating piece-wise linear splines (SBP, BMI, and eGFR). Beta coefficients in the table can be interpreted as log odds ratios.  ",,,,,,,,,,
,,,,,,,,,,
Linear regression of base PREVENT model (Y) on this enhanced model (X) when the enhanced risk prediciton variables are set to missing ,,,,,,,,,,
beta,1.0313,1.0263,1.0397,1.0343,1.0176,1.0216,1.0445,1.0794,1.0306,1.0230
R-square,0.9889,0.9966,0.9951,0.9961,0.9771,0.9948,0.9936,0.9967,0.9941,0.9952
